id,generation,source,created_at,action,status,reward,placed,deadline,start,end,reference,lower,upper,hit_time,hit_price,observed,exploratory,reason,encoder
1,1,coinbase-ETH-USD,2026-09-19T13:50:58+00:00,baisse,lost,-1.0,1789825858.4891121,1789825860.0,1789825870.0,1789825875.0,2633.43,2632.5,2633.0,,,1,True,,grid-usd-0.5-v1
2,1,coinbase-ETH-USD,2026-09-19T13:51:20+00:00,hausse,lost,-1.0,1789825880.178285,1789825885.0,1789825895.0,1789825900.0,2633.68,2634.0,2634.5,,,1,False,,grid-usd-0.5-v1
3,1,coinbase-ETH-USD,2026-09-19T13:51:43+00:00,stable,void,,1789825903.0692604,1789825905.0,1789825915.0,1789825920.0,2633.99,2633.5,2634.0,,,0,False,Aucune transaction observee dans la fenetre de 5 s.,grid-usd-0.5-v1
4,1,coinbase-ETH-USD,2026-09-19T13:52:11+00:00,hausse,lost,-1.0,1789825931.4908993,1789825935.0,1789825945.0,1789825950.0,2634.16,2634.5,2635.0,,,10,True,,grid-usd-0.5-v1
5,1,coinbase-ETH-USD,2026-09-19T13:52:33+00:00,stable,won,1.0,1789825953.1031282,1789825955.0,1789825965.0,1789825970.0,2634.06,2634.0,2634.5,1789825965.330745,2634.06,8,False,,grid-usd-0.5-v1
6,1,coinbase-ETH-USD,2026-09-19T13:52:59+00:00,stable,lost,-1.0,1789825979.2914116,1789825980.0,1789825990.0,1789825995.0,2634.64,2634.5,2635.0,,,6,False,,grid-usd-0.5-v1
7,1,coinbase-ETH-USD,2026-09-19T13:53:18+00:00,stable,lost,-1.0,1789825997.981815,1789826000.0,1789826010.0,1789826015.0,2634.57,2634.5,2635.0,,,6,False,,grid-usd-0.5-v1
8,1,coinbase-ETH-USD,2026-09-19T13:53:37+00:00,stable,won,1.0,1789826017.7667525,1789826020.0,1789826030.0,1789826035.0,2635.12,2635.0,2635.5,1789826030.426522,2635.12,12,True,,grid-usd-0.5-v1
9,1,coinbase-ETH-USD,2026-09-19T13:53:58+00:00,stable,lost,-1.0,1789826038.1602392,1789826040.0,1789826050.0,1789826055.0,2635.2,2635.0,2635.5,,,13,False,,grid-usd-0.5-v1
10,1,coinbase-ETH-USD,2026-09-19T13:54:18+00:00,stable,lost,-1.0,1789826058.1325057,1789826060.0,1789826070.0,1789826075.0,2635.99,2635.5,2636.0,,,2,False,,grid-usd-0.5-v1
11,1,coinbase-ETH-USD,2026-09-19T13:54:38+00:00,baisse,won,1.0,1789826078.1000843,1789826080.0,1789826090.0,1789826095.0,2636.72,2636.0,2636.5,1789826094.299966,2636.38,7,False,,grid-usd-0.5-v1
12,1,coinbase-ETH-USD,2026-09-19T13:54:57+00:00,baisse,lost,-1.0,1789826097.5653381,1789826100.0,1789826110.0,1789826115.0,2636.66,2636.0,2636.5,,,5,False,,grid-usd-0.5-v1
13,1,coinbase-ETH-USD,2026-09-19T13:55:18+00:00,baisse,lost,-1.0,1789826118.055178,1789826120.0,1789826130.0,1789826135.0,2635.38,2634.5,2635.0,,,2,False,,grid-usd-0.5-v1
